station_id,year,era5_runoff_mm
38319,2007,479.16272
38319,2008,629.0208
38319,2009,545.9867
38319,2010,764.8037
38319,2011,534.79736
38319,2012,420.00043
38319,2013,502.4179
38319,2014,625.65625
38319,2015,433.5209
38319,2016,513.6029
38319,2017,603.1556
38319,2018,477.41556
38319,2019,513.77234
38352,2000,590.68634
38352,2001,418.41028
38352,2002,354.8268
38352,2003,263.60342
38352,2004,433.42886
38352,2005,340.00055
38352,2006,531.8589
38352,2007,506.6989
38352,2008,523.30914
38352,2009,410.35147
38352,2010,414.85538
38352,2011,501.27917
38352,2012,549.50946
38352,2013,294.7691
38352,2014,570.29456
38352,2015,448.35703
38352,2016,383.58728
38352,2017,361.4656
38352,2018,314.85342
38352,2019,487.89078
38364,2000,571.58856
38364,2001,419.88437
38364,2002,385.46588
38364,2003,248.37988
38364,2004,402.0862
38364,2005,346.473
38364,2006,530.2569
38364,2007,528.3949
38364,2008,535.6516
38364,2009,409.76834
38364,2010,385.45242
38364,2011,481.6265
38364,2012,516.1826
38364,2013,304.6797
38364,2014,545.72815
38364,2015,451.48526
38364,2016,384.47095
38364,2017,360.38297
38364,2018,342.1742
38364,2019,458.09467
38391,2000,467.07315
38391,2001,402.43604
38391,2002,297.80695
38391,2003,253.60924
38391,2004,222.07173
38391,2005,225.588
38391,2006,357.55508
38391,2007,248.36473
38391,2008,295.33627
38391,2009,327.01874
38391,2010,290.60406
38391,2011,319.9275
38391,2012,347.72598
38391,2013,270.83963
38391,2014,282.0217
38391,2015,334.52618
38391,2016,258.05994
38391,2017,203.73534
38391,2018,367.15033
38391,2019,257.4662
38394,2000,347.8189
38394,2001,320.47772
38394,2002,359.26956
38394,2003,228.10538
38394,2004,347.63614
38394,2005,271.89212
38394,2006,304.55612
38394,2007,375.8635
38394,2008,328.95264
38394,2009,235.6913
38394,2010,341.9783
38394,2011,415.88617
38394,2012,308.93643
38394,2013,264.17188
38394,2014,252.81993
38394,2015,290.52417
38394,2016,216.60829
38394,2017,242.69527
38394,2018,302.67987
38394,2019,229.5671
38402,2000,537.3066
38402,2001,464.66934
38402,2002,272.19803
38402,2003,191.25484
38402,2004,217.40382
38402,2005,298.51077
38402,2006,303.79718
38402,2007,262.56244
38402,2008,327.39185
38402,2009,405.53796
38402,2010,328.6378
38402,2011,343.09152
38402,2012,428.98666
38402,2013,287.4776
38402,2014,386.39685
38402,2015,418.41345
38402,2016,285.87805
38402,2017,239.72888
38402,2018,347.01993
38402,2019,300.93118
38418,2000,1267.1005
38418,2001,707.17004
38418,2002,1087.0168
38418,2003,644.6167
38418,2004,1109.4452
38418,2005,920.67365
38418,2006,1036.0028
38418,2007,877.06573
38418,2008,1222.5349
38418,2009,1078.4304
38418,2010,662.40393
38418,2011,980.9751
38418,2012,1154.3993
38418,2013,881.15765
38418,2014,1120.2223
38418,2015,1206.826
38418,2016,878.97015
38418,2017,991.8947
38418,2018,875.83405
38418,2019,1037.1337
38422,2000,1187.0986
38422,2001,701.5311
38422,2002,818.49493
38422,2003,546.976
38422,2004,884.6266
38422,2005,683.78314
38422,2006,740.7197
38422,2007,927.14343
38422,2008,1069.9285
38422,2009,781.8523
38422,2010,534.1426
38422,2011,614.5794
38422,2012,1001.5054
38422,2013,702.8449
38422,2014,856.432
38422,2015,891.173
38422,2016,904.4261
38422,2017,678.86633
38422,2018,738.4011
38422,2019,874.5609
38428,2000,542.57166
38428,2001,396.93494
38428,2002,636.7849
38428,2003,341.97726
38428,2004,389.8767
38428,2005,405.53812
38428,2006,456.42047
38428,2007,459.8827
38428,2008,521.33716
38428,2009,561.96576
38428,2010,433.73904
38428,2011,459.13342
38428,2012,567.1331
38428,2013,519.3039
38428,2014,607.60614
38428,2015,495.2237
38428,2016,511.6577
38428,2017,402.96228
38428,2018,473.52838
38428,2019,527.4444
38432,2000,1375.176
38432,2001,1138.0974
38432,2002,1266.5844
38432,2003,931.6286
38432,2004,1555.1272
38432,2005,1594.8464
38432,2006,1384.3307
38432,2007,1534.8215
38432,2008,1556.5864
38432,2009,1375.2266
38432,2010,876.5051
38432,2011,1582.3477
38432,2012,1260.8934
38432,2013,1305.2325
38432,2014,1516.7122
38432,2015,1607.4708
38432,2016,1247.7163
38432,2017,1328.3723
38432,2018,1222.7451
38432,2019,1348.5201
38434,2000,852.52075
38434,2001,678.8135
38434,2002,981.88513
38434,2003,414.30984
38434,2004,660.197
38434,2005,586.10693
38434,2006,659.7023
38434,2007,667.66187
38434,2008,778.2746
38434,2009,833.2244
38434,2010,661.2086
38434,2011,848.5029
38434,2012,783.5796
38434,2013,638.7595
38434,2014,1023.4858
38434,2015,698.367
38434,2016,805.3692
38434,2017,565.19543
38434,2018,609.6072
38434,2019,698.5967
38437,2000,1045.9097
38437,2001,675.18805
38437,2002,1058.3994
38437,2003,571.6394
38437,2004,864.1294
38437,2005,821.89624
38437,2006,881.43475
38437,2007,804.8159
38437,2008,998.51074
38437,2009,1059.0671
38437,2010,660.3648
38437,2011,962.7768
38437,2012,983.82556
38437,2013,787.1078
38437,2014,1109.5171
38437,2015,1056.5496
38437,2016,855.942
38437,2017,838.89966
38437,2018,801.0136
38437,2019,861.86316
