station_id,year,EMEP_Standard_DEP_SOX_mgpm2,EMEP_Standard_DEP_TOTN_mgpm2
38391,2003,162.97295,361.71155
38394,2003,328.13586,843.978
38402,2003,105.78435,232.53392
38418,2003,887.9547,1253.7664
38422,2003,489.05414,929.296
38428,2003,521.98346,1218.1716
38432,2003,367.1564,499.3876
38434,2003,541.15576,820.6616
38437,2003,504.13525,1124.4403
23505,2004,628.2712,1874.1309
23506,2004,584.84503,1968.273
23507,2004,794.3179,1939.2418
23509,2004,515.4457,1616.261
23510,2004,596.29565,1798.2422
23511,2004,674.1151,1946.3408
23512,2004,459.17493,1461.3998
23514,2004,459.17493,1461.3998
23522,2004,520.65204,1740.8152
23525,2004,689.28973,1774.05
23527,2004,459.17493,1461.3998
23528,2004,653.1482,1791.3542
23530,2004,654.9697,1935.847
23531,2004,459.17493,1461.3998
23532,2004,556.2251,1757.2971
23533,2004,556.2251,1757.2971
23534,2004,821.261,1587.4064
23536,2004,883.6446,2140.73
23537,2004,520.65204,1740.8152
23562,2004,316.76428,1192.9978
23563,2004,564.11884,2378.0496
23564,2004,316.76428,1192.9978
23565,2004,679.2032,2962.1382
23566,2004,627.0386,2592.9502
23567,2004,673.64496,2955.7415
23597,2004,197.00171,423.1137
23598,2004,310.6851,727.4048
23603,2004,362.55264,925.80444
38201,2004,571.5781,1811.6222
38202,2004,530.0221,1639.9221
38203,2004,475.45657,1626.0293
38204,2004,456.50485,1413.1855
38205,2004,492.1009,1491.9752
38206,2004,434.7779,1342.2745
38207,2004,642.5014,1562.8468
38208,2004,1365.2932,2083.6365
38209,2004,383.2401,651.5583
38210,2004,116.339386,187.80568
38211,2004,118.160286,185.401
38212,2004,404.8194,816.65826
38213,2004,202.40851,338.0182
38214,2004,296.7967,540.39624
38242,2004,207.56374,433.13773
38312,2004,493.96686,976.2014
38314,2004,272.90103,553.6948
38315,2004,100.1831,165.55176
38316,2004,408.57477,129.06192
38319,2004,946.4531,940.1576
38352,2004,421.20126,1039.2247
38364,2004,471.5778,1170.1119
38391,2004,145.5843,354.15378
38394,2004,314.99728,784.1695
38402,2004,99.74423,232.74153
38418,2004,842.0172,1253.4413
38422,2004,440.63757,858.30206
38428,2004,457.8928,1058.5317
38432,2004,339.67758,419.89642
38434,2004,480.68085,804.8385
38437,2004,426.25345,937.9952
23505,2005,734.00916,2076.307
23506,2005,641.0995,1986.7743
23507,2005,731.1578,1890.517
23509,2005,461.29993,1493.1036
23510,2005,581.63525,1754.9519
23511,2005,750.7053,2037.7085
23512,2005,484.96637,1433.3492
23514,2005,484.96637,1433.3492
23522,2005,579.04254,1736.2773
23525,2005,798.846,1930.7439
23527,2005,484.96637,1433.3492
23528,2005,735.85114,1865.9467
23530,2005,643.1197,1842.9873
23531,2005,484.96637,1433.3492
23532,2005,661.84753,1860.1821
23533,2005,661.84753,1860.1821
23534,2005,807.8739,1612.2523
23536,2005,791.1188,2060.6453
23537,2005,579.04254,1736.2773
23562,2005,297.50998,1323.3105
23563,2005,482.57468,2446.276
23564,2005,297.50998,1323.3105
23565,2005,582.26825,2998.1934
23566,2005,531.8466,2643.1697
23567,2005,548.6664,2811.6914
23597,2005,190.99579,438.07138
23598,2005,277.66528,703.00354
23603,2005,292.75424,891.8209
38201,2005,647.4341,1862.8324
38202,2005,611.459,1719.6426
38203,2005,503.95792,1590.1183
38204,2005,495.57272,1399.1774
38205,2005,577.04895,1573.3451
38206,2005,484.81122,1370.2085
