station_id,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2
38466,1465.0045,1183.5345,1135.9513,1240.9548,1277.81,1131.6077,1260.3418,1247.2632,1156.849,1259.6735,1362.498,1199.566,1290.936,1155.4249,968.71265,906.2083,869.6916,904.29785,848.1405,761.4261,614.7642,857.5887,713.9369,803.7133,716.3217,686.2792,743.2987
38467,1525.6757,1149.4209,1488.2915,1314.4406,1429.4274,1299.5664,1732.4504,1286.8345,1229.4858,1331.4624,1433.439,1153.678,1277.2899,1260.078,1222.775,1140.248,977.59894,1104.586,1084.268,853.7158,724.42487,1012.72003,817.7722,852.3504,802.02637,752.0918,715.5795
38468,1562.1858,1149.6335,1473.5204,1364.2031,1487.051,1300.7435,1773.1625,1279.7468,1225.9796,1468.4062,1710.833,1519.133,1592.894,1490.659,1483.591,1350.768,1164.718,1333.849,1234.978,985.8707,875.7039,1152.9661,998.9439,1003.84705,978.9525,903.55634,838.2185
38469,1527.1775,1136.7494,1454.3693,1332.0659,1446.7489,1277.0254,1747.067,1305.9991,1259.0399,1483.7999,1708.5599,1516.859,1590.589,1490.293,1482.913,1350.936,1166.488,1332.694,1233.047,983.6439,872.11304,1152.6439,998.84766,1003.695,978.79974,903.4213,838.0841
38470,1625.8278,1199.5686,1618.0729,1411.9906,1589.665,1404.2731,1952.6852,1449.9686,1419.824,1593.594,1767.3639,1550.671,1619.6849,1546.0491,1516.611,1390.4491,1207.069,1368.53,1272.504,1005.10394,889.6854,1205.649,1004.95703,1021.96796,983.3254,908.6507,833.9501
38471,1266.7866,1115.2643,1023.9631,1070.789,1127.917,936.1964,1049.5752,1026.6846,1119.6737,1116.7804,1113.887,1036.209,1080.76,973.27,776.441,715.5407,671.1751,753.6897,676.5293,609.81213,473.329,751.2671,692.92065,727.4227,697.979,640.41235,673.96313
38472,1048.9548,863.7134,767.70856,922.8382,967.2306,860.58215,848.2703,845.18463,945.12213,913.1096,881.0971,834.2177,963.6931,805.91595,687.3754,620.7191,589.21234,684.9854,632.3457,500.4048,471.81082,650.532,563.7895,629.9774,612.8909,603.6061,636.0137
38473,1116.7522,856.95447,695.5513,922.02435,944.48737,922.20544,1010.8097,911.61163,910.7744,915.43256,920.0906,878.89557,897.6305,839.1882,712.3472,642.5973,594.4336,660.93195,656.57184,519.01215,460.1849,669.5923,516.3697,508.7987,496.3903,444.727,491.9721
38474,1133.3016,941.656,901.48706,965.5626,1045.8777,862.557,971.7945,990.7421,1075.7645,1106.8052,1137.846,1069.0349,1123.009,950.2801,822.6995,748.02606,706.5953,787.946,715.9923,659.91656,508.72012,789.00525,683.0909,696.01715,701.3451,612.98663,632.6134
38475,1013.95166,828.7015,721.56995,890.01733,868.8587,808.2652,811.58044,805.27985,950.3596,954.1149,957.8703,894.2698,1033.883,853.298,736.4817,658.8597,614.2941,708.8286,635.868,527.842,506.08868,705.19,610.8243,661.54,681.8621,637.3301,708.6928
