station_id,period,ANC_µeq/l,CaMg_µeq/l,Ca_µeq/l,Cl_µeq/l,HCO3_µeq/l,H_µeq/l,K_µeq/l,Mg_µeq/l,NH4-N_µeq/l,NO3-N_µeq/l,Na_µeq/l,OrgAnions_µeq/l,SAA_µeq/l,SO4_µeq/l,TOC_mg C/l,station_code,station_name,country
124,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2030-625,Holmvatnet,Norway
124,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2030-625,Holmvatnet,Norway
124,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2030-625,Holmvatnet,Norway
124,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2030-625,Holmvatnet,Norway
125,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2030-607,St.Valvatnet,Norway
125,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2030-607,St.Valvatnet,Norway
125,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2030-607,St.Valvatnet,Norway
125,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2030-607,St.Valvatnet,Norway
126,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1511-601,Blæjevatnet,Norway
126,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1511-601,Blæjevatnet,Norway
126,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1511-601,Blæjevatnet,Norway
126,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1511-601,Blæjevatnet,Norway
128,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1630-603,Skjerivatnet,Norway
128,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1630-603,Skjerivatnet,Norway
128,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1630-603,Skjerivatnet,Norway
128,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1630-603,Skjerivatnet,Norway
129,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1859-601,Storvatn,Norway
129,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1859-601,Storvatn,Norway
129,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1859-601,Storvatn,Norway
129,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1859-601,Storvatn,Norway
132,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,941-24,Bånevatn,Norway
132,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,941-24,Bånevatn,Norway
132,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,941-24,Bånevatn,Norway
132,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,941-24,Bånevatn,Norway
134,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1032-14,Troldevatnet,Norway
134,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1032-14,Troldevatnet,Norway
134,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1032-14,Troldevatnet,Norway
134,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1032-14,Troldevatnet,Norway
135,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1228-501,Steinavatn,Norway
135,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1228-501,Steinavatn,Norway
135,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1228-501,Steinavatn,Norway
135,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1228-501,Steinavatn,Norway
136,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,833-603,Skurevatn,Norway
136,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,833-603,Skurevatn,Norway
136,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,833-603,Skurevatn,Norway
136,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,833-603,Skurevatn,Norway
138,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2030-612,Litle Djupvatnet,Norway
138,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2030-612,Litle Djupvatnet,Norway
138,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2030-612,Litle Djupvatnet,Norway
138,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2030-612,Litle Djupvatnet,Norway
140,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1026-210,Stigebottsvatn,Norway
140,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1026-210,Stigebottsvatn,Norway
140,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1026-210,Stigebottsvatn,Norway
140,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1026-210,Stigebottsvatn,Norway
141,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,827-601,Heddersvatnet,Norway
141,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,827-601,Heddersvatnet,Norway
141,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,827-601,Heddersvatnet,Norway
141,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,827-601,Heddersvatnet,Norway
142,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1418-601,Nystølsvatn,Norway
142,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1418-601,Nystølsvatn,Norway
142,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1418-601,Nystølsvatn,Norway
142,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1418-601,Nystølsvatn,Norway
143,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1263-601,Båtevatn,Norway
143,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1263-601,Båtevatn,Norway
143,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1263-601,Båtevatn,Norway
143,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1263-601,Båtevatn,Norway
144,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1004-13,Store Eitlandsvatn,Norway
144,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1004-13,Store Eitlandsvatn,Norway
144,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1004-13,Store Eitlandsvatn,Norway
144,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1004-13,Store Eitlandsvatn,Norway
145,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,834-614,Stavsvatn,Norway
145,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,834-614,Stavsvatn,Norway
145,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,834-614,Stavsvatn,Norway
145,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,834-614,Stavsvatn,Norway
146,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1037-17,Heievatn,Norway
146,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1037-17,Heievatn,Norway
146,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1037-17,Heievatn,Norway
