period,region,variable,n_vals,mean,median,std_dev,iqr,mk_p_val,mk_trend,sen_slp
1990-2004,WCE,NO3-N_µeq/l,100,50.245714285714286,45.10714285714286,23.997656769070222,30.732142857142854,0.0004196847598265663,decreasing,-0.7946428571428577
1990-2004,WCE,Cl_µeq/l,104,114.80923280876739,95.19645728147123,71.94358532093003,97.31193410994837,0.008151537668174003,decreasing,-0.7051589428257117
1990-2004,WCE,Ca_µeq/l,104,162.70439889451868,161.27744510978044,58.35375326202926,87.88672654690619,0.011530694125482022,decreasing,-1.0395874916833006
1990-2004,WCE,Mg_µeq/l,104,124.11408104892803,130.92300098716683,57.90718658822439,88.33086541625532,0.18817260371931632,no trend,0.0
1990-2004,WCE,CaMg_µeq/l,104,287.93398045203537,250.9800241570167,110.76903368420831,176.41272243272584,0.41425825049602816,no trend,-0.5619724683571263
1990-2004,WCE,H_µeq/l,104,17.096472152418492,2.1986461765807284,24.154419304846222,31.28772362364197,0.011949240358331448,decreasing,-0.013945342171518604
1990-2004,WCE,SAA_µeq/l,100,393.84640124271755,353.29186026535797,225.4689384846211,338.8246604207901,2.485545103070308e-11,decreasing,-3.936422128220727
1990-2004,WCE,ANC_µeq/l,100,22.926332339110004,42.892404066171316,101.48478858258075,128.75792697835305,2.0911228304498763e-10,increasing,7.6490879196467105
1990-2004,WCE,OrgAnions_µeq/l,98,35.919809147113796,35.05508921615218,20.78159991106299,35.203880206278825,1.0963426789523112e-05,increasing,0.798477364928807
1990-2004,WCE,HCO3_µeq/l,95,42.65992704643957,20.818931084943426,49.57934901805114,76.57934625287785,3.835494785686677e-05,increasing,1.0582247548157335
1990-2004,WCE,TOC_mg C/l,98,3.6258112244897958,3.9749999999999996,2.3236107272808337,3.8922499999999998,0.0009964333288841054,increasing,0.040833333333333346
1990-2004,ECE,SO4_µeq/l,355,109.0569821529099,67.43434962565688,113.0722375982531,63.34148088310001,0.0,decreasing,-3.609939871915522
1990-2004,ECE,NO3-N_µeq/l,351,30.326128071856814,29.0,22.743588136646704,25.37279857142857,0.0,decreasing,-0.7053035701282648
1990-2004,ECE,Cl_µeq/l,347,16.32184238786814,8.073505768200151,21.046657126623128,15.454964333060673,4.440892098500626e-16,decreasing,-0.2084575694111454
1990-2004,ECE,Ca_µeq/l,348,107.34001579748549,86.8942265469062,81.86464565185406,126.21375748502996,0.0,decreasing,-1.3944444444444446
1990-2004,ECE,Mg_µeq/l,348,28.905170006824093,15.153460809476801,28.619544193458,29.511881780848956,1.3322676295501878e-15,decreasing,-0.3084896347482726
1990-2004,ECE,CaMg_µeq/l,349,135.8422877515399,96.0221708606479,99.93117947714856,120.1924341110474,0.0,decreasing,-2.0691666666666677
1990-2004,ECE,H_µeq/l,354,11.986623987487775,5.2851389645188425,17.14636306450886,17.123957393762765,0.0,decreasing,-0.10267872741827039
1990-2004,ECE,SAA_µeq/l,350,155.15568869448717,106.10120521322054,142.86026241038346,84.56850938277205,0.0,decreasing,-4.601989777559563
1990-2004,ECE,ANC_µeq/l,342,27.31640740886649,14.037238837305328,93.28725543411164,119.11412080289627,0.0,increasing,2.917760554875988
1990-2004,ECE,OrgAnions_µeq/l,300,24.71130814280504,12.246454909527692,27.970181302585424,29.277938852142498,6.936146768055096e-09,increasing,0.3168179532518066
1990-2004,ECE,HCO3_µeq/l,297,42.49222308639569,0.0,67.4627541543922,75.66279447035188,2.396515430547197e-09,increasing,0.0
