station_id;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
38103;157.9406496;152.6729243;147.405199;142.1374738;136.8697485;140.2821743;143.6946001;147.1070259;150.5194517;153.9318775;151.8281004;149.7243234;147.6205463;145.5167692;143.4129921;136.7703575;130.1277228;123.4850881;116.8424534;110.1998187;107.6559982;105.1121777;102.5683572;100.0245368;97.48071628;94.9368958;92.39307532
38104;149.0559748;144.0845762;139.1131776;134.141779;129.1703804;132.3908462;135.6113119;138.8317777;142.0522435;145.2727092;143.2872765;141.3018437;139.3164109;137.3309781;135.3455453;129.0765804;122.8076155;116.5386506;110.2696857;104.0007208;101.5999985;99.19927619;96.79855387;94.39783156;91.99710925;89.59638693;87.19566462
38105;152.7075505;147.6143625;142.5211745;137.4279865;132.3347985;135.6341593;138.93352;142.2328808;145.5322416;148.8316024;146.7975305;144.7634585;142.7293866;140.6953146;138.6612427;132.2387006;125.8161585;119.3936164;112.9710743;106.5485321;104.0889969;101.6294617;99.16992641;96.71039116;94.25085591;91.79132067;89.33178542
38106;162.9610261;157.5258584;152.0906907;146.655523;141.2203553;144.7412501;148.2621449;151.7830397;155.3039345;158.8248293;156.6541806;154.4835318;152.3128831;150.1422344;147.9715856;141.117805;134.2640244;127.4102437;120.5564631;113.7026825;111.0780029;108.4533233;105.8286438;103.2039642;100.5792846;97.95460507;95.3299255
38107;176.3525883;170.4707777;164.5889671;158.7071565;152.8253459;156.6355754;160.4458049;164.2560344;168.0662639;171.8764934;169.5274684;167.1784435;164.8294185;162.4803935;160.1313685;152.7143684;145.2973682;137.8803681;130.4633679;123.0463678;120.2060013;117.3656348;114.5252684;111.6849019;108.8445354;106.0041689;103.1638025
38108;182.7226703;176.6284012;170.534132;164.4398629;158.3455938;162.2934536;166.2413135;170.1891734;174.1370333;178.0848932;175.6510184;173.2171436;170.7832688;168.3493941;165.9155193;158.2306075;150.5456958;142.8607841;135.1758724;127.4909607;124.5479965;121.6050323;118.6620682;115.719104;112.7761399;109.8331757;106.8902115
38109;188.3724282;182.0897252;175.8070221;169.5243191;163.2416161;167.3115432;171.3814703;175.4513974;179.5213246;183.5912517;181.0821219;178.572992;176.0638622;173.5547324;171.0456025;163.1230745;155.2005464;147.2780184;139.3554903;131.4329623;128.3990021;125.3650419;122.3310817;119.2971216;116.2631614;113.2292012;110.195241
38110;196.1699959;189.627224;183.0844521;176.5416802;169.9989083;174.2373077;178.4757071;182.7141065;186.9525059;191.1909053;188.5779115;185.9649177;183.3519239;180.7389301;178.1259363;169.8754598;161.6249833;153.3745067;145.1240302;136.8735537;133.7140045;130.5544553;127.3949061;124.2353569;121.0758077;117.9162585;114.7567093
38111;182.5070152;176.4199387;170.3328622;164.2457858;158.1587093;162.1019098;166.0451103;169.9883107;173.9315112;177.8747117;175.4437095;173.0127072;170.581705;168.1507027;165.7197005;158.0438588;150.368017;142.6921753;135.0163335;127.3404918;124.401001;121.4615102;118.5220194;115.5825287;112.6430379;109.7035471;106.7640563
38112;177.7067039;171.7797301;165.8527563;159.9257824;153.9988086;157.8382948;161.677781;165.5172672;169.3567534;173.1962395;170.8291777;168.4621158;166.0950539;163.7279921;161.3609302;153.8869789;146.4130277;138.9390764;131.4651252;123.9911739;121.1289978;118.2668217;115.4046456;112.5424695;109.6802934;106.8181173;103.9559412
