station_id,variable,median,mk_p_val,mk_trend,sen_slp,sen_incpt,sen_trend
38450,totn_mgNpm2,1176.7439,1.6284590624859874e-06,decreasing,-31.30384705882352,63878.34955882352,decreasing
38451,totn_mgNpm2,1167.5558,4.5112657471868545e-06,decreasing,-30.694383333333338,62648.40561666668,decreasing
38452,totn_mgNpm2,1177.4344,2.460188175845701e-06,decreasing,-31.335491666666666,63942.42420833333,decreasing
38453,totn_mgNpm2,967.7675,2.1114275347233757e-05,decreasing,-22.03854230769231,45110.9677423077,decreasing
38454,totn_mgNpm2,1008.4190699999999,2.3106313529197564e-08,decreasing,-32.902233333333335,66911.59243666667,decreasing
38455,totn_mgNpm2,1039.538,2.340518208132636e-07,decreasing,-29.177717647058817,59482.50644705881,decreasing
38456,totn_mgNpm2,1078.465,5.953353165999431e-08,decreasing,-33.706775,68593.135325,decreasing
38457,totn_mgNpm2,1017.54,1.870902361922333e-07,decreasing,-31.15725555555557,63425.5228777778,decreasing
38458,totn_mgNpm2,1150.958,1.0707086044448033e-06,decreasing,-30.205611538461543,61652.797911538466,decreasing
38459,totn_mgNpm2,1128.6747,2.460188175845701e-06,decreasing,-29.3593,59935.352600000006,decreasing
38460,totn_mgNpm2,863.4715,8.14872506182951e-06,decreasing,-20.217553125000002,41359.230409375006,decreasing
38461,totn_mgNpm2,1018.846,4.536347351091763e-07,decreasing,-25.90718235294117,52910.93225294116,decreasing
38462,totn_mgNpm2,865.1075400000001,8.88363404312198e-05,decreasing,-18.184376470588237,37288.413610588235,decreasing
38463,totn_mgNpm2,866.7804,0.00012514022042697803,decreasing,-16.60213888888889,34120.86459444445,decreasing
38464,totn_mgNpm2,854.6101699999999,1.6284590624859874e-06,decreasing,-23.509044444444434,47943.2261922222,decreasing
38465,totn_mgNpm2,896.8899,2.1114275347233757e-05,decreasing,-19.230682352941177,39415.94665294118,decreasing
38466,totn_mgNpm2,1131.6077,2.0032569409966783e-06,decreasing,-26.860499999999995,54933.18919999999,decreasing
38467,totn_mgNpm2,1153.678,4.710908774185896e-08,decreasing,-29.40811428571428,60058.130914285706,decreasing
38468,totn_mgNpm2,1300.7435,0.00014815749171148695,decreasing,-25.40492500000001,52186.80827500002,decreasing
38469,totn_mgNpm2,1305.9991,0.000243447606952385,decreasing,-24.014992727272727,49408.029532727276,decreasing
38470,totn_mgNpm2,1404.2731,1.4499521886923716e-05,decreasing,-30.144600000000082,61783.90690000016,decreasing
38471,totn_mgNpm2,936.1964,3.691890443802137e-06,decreasing,-22.80090269230769,46606.40449269231,decreasing
38472,totn_mgNpm2,767.7085599999999,9.890896534470173e-06,decreasing,-16.989485714285713,34797.64844571428,decreasing
38473,totn_mgNpm2,712.3472,1.1894144980040267e-07,decreasing,-22.930982631578946,46643.105411052624,decreasing
38474,totn_mgNpm2,862.557,7.46637681654505e-05,decreasing,-17.45107499999999,35817.06022499998,decreasing
38475,totn_mgNpm2,736.4817,0.0008514444083891348,decreasing,-11.614170588235297,23999.6653882353,decreasing
38476,totn_mgNpm2,958.5368,6.702215939125011e-06,decreasing,-22.783833333333334,46594.55496666667,decreasing
38477,totn_mgNpm2,933.7023,3.054267084956486e-05,decreasing,-21.7589,44516.778999999995,decreasing
