station_id,year,variable,value
38279,2013,pre,1248.0
38279,2014,pre,1532.5001
38279,2015,pre,1673.2999
38279,2016,pre,1186.1001
38260,1992,pre,1298.6001
38260,1993,pre,950.8
38260,1994,pre,1111.5
38260,1995,pre,1064.6
38260,1996,pre,880.60004
38260,1997,pre,956.00006
38260,1998,pre,1128.5001
38260,1999,pre,1323.1
38260,2000,pre,1320.7001
38260,2001,pre,1043.4
38260,2002,pre,1039.0
38260,2003,pre,1046.9
38260,2004,pre,1121.4
38260,2005,pre,1083.6
38260,2006,pre,1230.1
38260,2007,pre,1215.2001
38260,2008,pre,1247.3
38260,2009,pre,1104.7999
38260,2010,pre,829.4
38260,2011,pre,1220.4
38260,2012,pre,1191.8999
38260,2013,pre,1022.4
38260,2014,pre,1237.2
38260,2015,pre,1342.0
38260,2016,pre,970.19995
38312,1992,pre,1508.1001
38312,1993,pre,1328.8999
38312,1994,pre,1502.8002
38312,1995,pre,1373.5
38312,1996,pre,1195.7999
38312,1997,pre,1274.9
38312,1998,pre,1564.4
38312,1999,pre,1769.1
38312,2000,pre,1792.6002
38312,2001,pre,1428.7
38312,2002,pre,1487.7001
38312,2003,pre,1333.8
38312,2004,pre,1493.9
38312,2005,pre,1385.4999
38312,2006,pre,1670.8
38312,2007,pre,1597.3
38312,2008,pre,1583.5
38312,2009,pre,1464.2
38312,2010,pre,1218.2999
38312,2011,pre,1626.1001
38312,2012,pre,1626.7
38312,2013,pre,1380.3999
38312,2014,pre,1716.9
38312,2015,pre,1830.6001
38312,2016,pre,1324.0001
38287,1992,pre,1439.6
38287,1993,pre,1264.7001
38287,1994,pre,1004.2001
38287,1995,pre,1390.5
38287,1996,pre,1142.3999
38287,1997,pre,1294.6
38287,1998,pre,1367.1
38287,1999,pre,1343.7001
38287,2000,pre,1446.3
38287,2001,pre,1311.2999
38287,2002,pre,1199.5
38287,2003,pre,1351.5
38287,2004,pre,1296.7001
38287,2005,pre,1473.2001
38287,2006,pre,1283.1001
38287,2007,pre,1365.4
38287,2008,pre,1188.4
38287,2009,pre,1097.0
38287,2010,pre,1135.7001
38287,2011,pre,1387.5
38287,2012,pre,1156.9
38287,2013,pre,1389.9
38287,2014,pre,1087.4
38287,2015,pre,1486.7
38287,2016,pre,1223.0
38315,1992,pre,1511.8
38315,1993,pre,1203.9
38315,1994,pre,1260.7001
38315,1995,pre,1312.8
38315,1996,pre,1018.4
38315,1997,pre,1291.4
38315,1998,pre,1325.8
38315,1999,pre,1450.9
38315,2000,pre,1431.4
38315,2001,pre,1342.4
38315,2002,pre,1106.4
38315,2003,pre,1219.5
38315,2004,pre,1283.4
38315,2005,pre,1302.6001
38315,2006,pre,1372.3
38315,2007,pre,1375.2
38315,2008,pre,1356.8
38315,2009,pre,1311.5
38315,2010,pre,1112.2001
38315,2011,pre,1390.8
38315,2012,pre,1366.5
38315,2013,pre,1205.8999
38315,2014,pre,1127.3
38315,2015,pre,1426.2999
38315,2016,pre,1259.7999
38242,1992,pre,860.0
38242,1993,pre,806.4001
38242,1994,pre,872.0
38242,1995,pre,877.6
38242,1996,pre,758.9
38242,1997,pre,814.7
38242,1998,pre,951.49994
38242,1999,pre,1099.9
38242,2000,pre,1195.1
38242,2001,pre,913.6001
38242,2002,pre,883.6
38242,2003,pre,871.80005
38242,2004,pre,922.3
38242,2005,pre,872.2
38242,2006,pre,1033.8
38242,2007,pre,995.3
38242,2008,pre,1032.2001
38242,2009,pre,973.99994
38242,2010,pre,778.3
38242,2011,pre,1031.3
38242,2012,pre,1039.6
38242,2013,pre,818.3
38242,2014,pre,1001.2001
38242,2015,pre,1049.7
38242,2016,pre,839.19995
38313,1992,pre,2591.4001
38313,1993,pre,1936.2
38313,1994,pre,2371.4
38313,1995,pre,2191.9001
38313,1996,pre,1774.6001
38313,1997,pre,1943.0002
38313,1998,pre,2360.4001
38313,1999,pre,2765.2998
38313,2000,pre,2667.5
38313,2001,pre,2151.5
38313,2002,pre,2159.4001
38313,2003,pre,2122.1
