period,region,variable,n_vals,mean,median,std_dev,iqr,mk_p_val,mk_trend,sen_slp
1990-2020,ECE,HCO3_µeq/l,624,50.070938580236906,3.7281959406058993,77.17876482575303,87.23888265210473,0.0,increasing,0.0
1990-2020,AdsCsk,SO4_µeq/l,1542,70.28387252302379,71.65753615388459,29.74973697209415,43.847801892223316,0.0,decreasing,-2.6965370414118413
1990-2020,AdsCsk,NO3-N_µeq/l,1542,9.46659149797839,7.841884678279607,8.441344333994813,12.883750000000001,0.0,decreasing,-0.14365151515151525
1990-2020,AdsCsk,Cl_µeq/l,1542,8.811580282233948,7.8343370095619544,4.607917476060966,3.5697581754986834,0.0,decreasing,-0.08299297661692945
1990-2020,AdsCsk,Ca_µeq/l,1523,79.80652782941775,72.53617764471058,42.93755326251076,54.649756736526946,0.0,decreasing,-0.8765851055393998
1990-2020,AdsCsk,Mg_µeq/l,1491,27.74179566995446,25.40745310957552,14.698220484751346,17.21150049358342,0.0,decreasing,-0.30530575113533787
1990-2020,AdsCsk,CaMg_µeq/l,1503,107.2339421860566,97.76109917381426,54.491243942397155,73.19335298236348,0.0,decreasing,-1.2517989329829973
1990-2020,AdsCsk,H_µeq/l,1542,6.123748857416589,1.7158992084110716,9.3969517898324,7.040191580601773,0.0,decreasing,-0.03030458655915614
1990-2020,AdsCsk,SAA_µeq/l,1542,89.3232627524081,89.94701002333088,36.317744651186466,54.31718241842337,0.0,decreasing,-3.0242781007276793
1990-2020,AdsCsk,ANC_µeq/l,1496,45.41458357516592,31.3597574637891,53.65706283802575,74.01040115924962,0.0,increasing,1.6003783944076744
1990-2020,AdsCsk,OrgAnions_µeq/l,1541,58.30839018588519,52.62156034453916,30.126091271734563,36.154440423774126,0.0,increasing,0.6787884058069574
1990-2020,AdsCsk,HCO3_µeq/l,1526,17.488324772991643,0.0,40.63624493020459,18.21166931512873,0.0,increasing,0.0
1990-2020,Ont,SO4_µeq/l,325,99.02294913959497,101.91748541063984,24.57674756312351,32.895558683178294,0.0,decreasing,-2.6024967312641083
1990-2020,Ont,NO3-N_µeq/l,328,9.232593148088887,6.191591276009861,9.160185515049323,13.634060520760027,1.5513216866658297e-07,decreasing,-0.041070640000389805
1990-2020,Ont,Cl_µeq/l,328,24.320324831103914,9.463233012721066,34.11798650499393,5.511935982054938,0.0,decreasing,-0.13431598910965958
1990-2020,Ont,Ca_µeq/l,328,132.57001152633634,116.82577354435654,58.57546065981062,67.07599684821257,0.0,decreasing,-1.124886068072957
1990-2020,Ont,Mg_µeq/l,328,43.158540633887654,38.910825929582096,12.604383961249447,18.577225238565312,0.0,decreasing,-0.4171608026170549
1990-2020,Ont,CaMg_µeq/l,328,175.6459864774326,168.54738203750446,59.99738687659717,78.34796842642453,0.0,decreasing,-1.5764583770282716
1990-2020,Ont,H_µeq/l,328,0.917615987138038,0.5520832934077676,0.8192327457738874,1.1774116491059934,1.3032390677736316e-07,decreasing,-0.0038440013019410673
1990-2020,Ont,SAA_µeq/l,328,133.95271341611456,129.85917313077073,42.02262511116217,37.30640435838974,0.0,decreasing,-2.7016403722453792
1990-2020,Ont,ANC_µeq/l,327,88.91824928611153,81.79371462433394,55.19851599013363,68.10419134218157,0.0,increasing,1.2192326915343548
1990-2020,Ont,OrgAnions_µeq/l,328,48.405187321889684,50.11563830809159,13.2242043191798,15.998698708980768,0.0,increasing,0.3164718658886726
1990-2020,Ont,HCO3_µeq/l,327,44.01345177625193,33.18945001578561,50.50511884026954,69.66167273136554,0.0,increasing,0.19641107971972566
1990-2020,QuMaVt,SO4_µeq/l,1353,62.2741522640043,57.931577237938995,25.938205066998535,33.311958160180545,0.0,decreasing,-1.734997820842736
1990-2020,QuMaVt,NO3-N_µeq/l,1349,1.695426269325546,2.357142857142857,1.3921617214463544,2.0357142857142856,0.0,decreasing,0.0
1990-2020,QuMaVt,Cl_µeq/l,1324,22.16311057967833,9.872225199559981,25.49394656159917,17.10386638648351,4.6629367034256575e-15,decreasing,-0.08295987562655442
1990-2020,QuMaVt,Ca_µeq/l,1338,90.49810676558985,76.3880988023952,59.30780312075713,44.49226546906188,0.0,decreasing,-0.806719893546242
1990-2020,QuMaVt,Mg_µeq/l,1335,34.64662212953714,30.848963474827244,18.04893631745921,14.019582649934762,0.0,decreasing,-0.3320480142625588
1990-2020,QuMaVt,CaMg_µeq/l,1335,125.00171947546109,108.46123646093795,75.17475853915937,59.03697294453542,0.0,decreasing,-1.153052121461804
1990-2020,QuMaVt,H_µeq/l,1354,1.656530231050287,0.4466835921509635,4.820905268541303,0.7254516425148455,0.0,decreasing,-0.0070798314261012124
1990-2020,QuMaVt,SAA_µeq/l,1328,86.70159436386056,80.71539437273796,32.10731268959385,44.57492615012464,0.0,decreasing,-1.9663308636217682
1990-2020,QuMaVt,ANC_µeq/l,1310,87.85561615646597,65.90606908337566,75.17467316319721,71.17708416038022,0.0,increasing,0.6978355041983345
1990-2020,QuMaVt,OrgAnions_µeq/l,1348,57.80421717863218,56.148399009028836,23.297645741663864,28.874232648362742,0.0,increasing,0.2652049197965688
1990-2020,QuMaVt,HCO3_µeq/l,1308,38.868324543543046,13.707072686153623,63.88902005111515,45.87290418699995,3.3084646133829665e-14,increasing,0.0
1990-2020,AtlCan,SO4_µeq/l,1501,41.445160962865884,39.557950315214406,20.066720210568416,23.94296992762977,0.0,decreasing,-0.9368988232550782
