period,station_id,variable,n_vals,first,last,mean,median,std_dev,iqr,mk_p_val,mk_trend,sen_slp,sen_incpt,sen_trend
1990-2020,38356,CaMg_µeq/l,31,278.46194341327214,271.7491965723045,255.92516481383004,256.4651834287989,14.103598836260371,17.998625749488212,0.7211095322566394,no trend,0.11605133144372104,23.782263884138246,no trend
1990-2020,38356,H_µeq/l,31,0.21470367075389835,0.32436601124636677,0.242919251109912,0.23298447106507086,0.04626726372448686,0.053052812466872545,0.3325772572745107,no trend,-0.0011152614173969638,2.469083612945983,no trend
1990-2020,38356,SAA_µeq/l,31,151.60803335716724,111.22929607183893,103.28809437760712,97.03295325975357,16.740272463400718,19.442234273122892,0.0027772931948595314,decreasing,-0.927182042316493,1956.0329481043223,decreasing
1990-2020,38356,ANC_µeq/l,31,199.3921661892373,242.03850096122426,232.73614543178996,237.2534998440828,15.968402402047523,23.140555425531943,3.903255135684347e-05,increasing,1.1834059794719518,-2135.4754889971805,increasing
1990-2020,38356,OrgAnions_µeq/l,31,120.2005909400242,127.05916783650957,134.89321246267917,130.79548651212036,15.982255713896803,17.836532945219005,0.12609656894220533,no trend,0.3882573491340917,-647.6604985017336,no trend
1990-2020,38356,HCO3_µeq/l,31,83.64535641482988,118.45715498032962,95.63087496967121,93.70950492752863,18.94549001972106,28.738590776375375,0.032229828676073824,increasing,0.9952633559660455,-1901.7935237843928,increasing
1990-2020,38357,SO4_µeq/l,31,175.88713908575332,87.44389017047394,101.15014908444502,91.94100452209832,38.224217170574526,56.19310942145455,8.20053935868259e-09,decreasing,-3.95579503152144,8023.310042722585,decreasing
1990-2020,38357,NO3-N_µeq/l,31,1.7142857142857142,2.4285714285714284,2.0299539170506917,2.142857142857143,0.7386958064076263,0.9999999999999996,0.059177161719273785,no trend,-0.023809523809523808,49.88095238095238,no trend
1990-2020,38357,Cl_µeq/l,31,94.5,118.46670239471976,92.62446692258628,88.0,15.966993355707665,22.97660282627703,0.5632336129472835,no trend,-0.21774461963726652,524.5779623727194,no trend
1990-2020,38357,Ca_µeq/l,31,139.49303892215568,109.78043912175649,105.47947492112546,100.99496007984033,18.77585033149721,20.248989520958105,1.3469202818638948e-05,decreasing,-1.5383847689236916,3185.456421771842,decreasing
1990-2020,38357,Mg_µeq/l,31,64.48142892398815,56.350773280684436,52.43273930834634,49.35834155972359,8.976267826440349,10.43049728529121,9.217939686156917e-05,decreasing,-0.6997984534386312,1452.4542407041793,decreasing
