SiteID,Lat,Lon,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
38224,61.8102,24.2072,236.36,226.51,216.65,206.77,196.86,186.94,184.43,181.92,179.40,176.87,174.34,152.18,141.17,139.88,135.32,145.67,149.59,137.14,158.60,147.03,181.10,174.30,169.81,139.88,144.56,134.51,140.85,132.30
23505,48.7502,8.4503,803.09,789.28,775.54,761.86,748.26,734.73,731.12,727.52,723.93,720.34,716.77,692.46,768.75,702.33,718.17,824.40,723.29,771.05,672.59,707.48,746.33,694.34,653.21,693.12,671.56,666.93,673.84,693.39
23506,50.0850,11.8245,1065.69,1047.96,1030.21,1012.45,994.67,976.89,973.10,969.31,965.52,961.72,957.92,923.65,953.02,827.24,835.54,856.74,887.12,888.00,866.02,859.22,909.28,860.24,875.28,851.39,868.94,868.80,888.49,966.48
23507,50.9878,8.2013,1073.00,1055.35,1037.73,1020.13,1002.55,984.99,978.89,972.80,966.72,960.64,954.57,877.16,902.53,839.00,893.05,903.91,881.10,919.50,787.26,899.63,825.87,769.17,837.85,807.39,848.56,806.57,778.72,876.99
23508,51.1173,12.7575,910.90,905.52,900.16,894.80,889.44,884.09,882.50,880.92,879.33,877.75,876.17,913.03,889.48,729.78,796.43,819.75,810.96,822.81,791.73,825.29,871.87,754.47,801.75,829.22,827.35,794.04,864.97,914.49
23509,47.8785,8.0570,842.94,830.09,817.29,804.54,791.83,779.17,777.23,775.29,773.36,771.42,769.49,740.50,750.08,749.01,754.80,722.66,750.24,756.01,677.14,747.10,705.61,697.79,728.79,721.05,731.03,730.47,728.45,695.71
23510,49.9240,7.6192,743.79,736.19,728.60,721.02,713.46,705.91,704.99,704.07,703.16,702.24,701.32,663.33,684.34,630.23,636.55,663.94,642.33,650.06,605.21,666.87,662.44,590.12,653.47,631.28,647.61,626.57,623.84,643.19
23511,50.4097,12.5335,1094.90,1070.71,1046.54,1022.38,998.23,974.10,970.42,966.75,963.07,959.40,955.73,885.65,921.18,778.81,778.87,840.73,832.64,804.91,805.73,801.74,772.82,720.02,814.38,745.72,741.91,769.34,775.88,876.76
23512,48.9347,13.4085,877.14,846.87,816.82,787.00,757.41,728.04,721.32,714.63,707.97,701.34,694.74,632.31,610.86,643.13,634.65,632.42,651.87,679.35,622.93,636.44,590.33,596.74,641.74,611.85,585.43,606.18,597.31,711.59
23513,51.4258,12.9233,965.61,950.00,934.40,918.79,903.19,887.59,882.73,877.88,873.03,868.18,863.33,945.33,862.71,721.15,814.79,815.48,780.03,797.32,783.28,844.89,847.66,796.20,814.10,852.71,851.22,845.93,873.16,911.99
23514,48.9385,13.4085,875.62,845.30,815.20,785.33,755.68,726.26,719.54,712.85,706.20,699.57,692.97,629.79,608.95,640.76,631.83,630.11,649.93,677.46,620.60,633.97,588.61,594.93,640.46,611.06,583.03,604.95,595.59,709.01
23516,51.8550,10.4210,991.67,991.58,991.48,991.38,991.29,991.19,989.50,987.81,986.11,984.41,982.71,1026.81,1010.61,810.73,924.45,931.35,940.20,989.11,872.88,936.19,911.84,826.48,885.52,862.04,896.95,954.06,894.61,1135.34
23517,50.7075,13.1522,1054.34,1040.00,1025.64,1011.27,996.88,982.46,980.44,978.41,976.38,974.34,972.31,995.65,995.64,830.05,855.71,986.04,941.39,949.89,962.10,953.88,898.59,812.53,895.87,874.83,893.72,839.32,894.51,983.17
23518,51.2873,9.7372,959.60,957.85,956.11,954.36,952.61,950.87,949.09,947.32,945.55,943.77,942.00,884.30,870.63,787.16,815.37,823.61,845.22,879.79,802.82,908.62,833.65,762.87,794.24,864.86,850.77,814.70,805.31,926.84
23519,51.3020,9.6183,1071.98,1068.70,1065.42,1062.13,1058.84,1055.55,1053.81,1052.07,1050.33,1048.59,1046.85,995.22,972.92,878.79,920.45,933.22,954.52,975.79,892.53,1005.10,911.11,863.50,908.38,966.05,952.91,917.12,911.47,1048.02
23520,53.6347,10.7378,1099.48,1095.75,1092.02,1088.27,1084.52,1080.75,1080.63,1080.51,1080.39,1080.26,1080.13,1221.81,1106.03,981.54,1079.21,1027.01,1106.62,1048.17,1087.62,1044.07,1075.49,1158.96,1139.91,1036.18,1157.88,1267.94,1222.08,1283.50
23521,48.9715,13.4030,864.34,833.58,803.05,772.76,742.69,712.86,706.14,699.45,692.80,686.18,679.59,609.42,592.87,620.43,609.26,610.63,634.35,662.86,601.37,614.02,574.09,580.44,630.24,604.14,562.83,594.58,581.45,688.23
23522,50.0412,11.9008,1014.28,996.63,978.97,961.31,943.65,925.98,921.95,917.91,913.88,909.85,905.81,867.13,902.43,787.49,792.97,805.99,830.97,824.06,817.65,802.83,866.65,824.30,838.31,818.26,825.60,830.97,844.47,909.21
23523,50.2063,8.4362,883.45,867.25,851.10,835.01,818.96,802.97,798.24,793.52,788.81,784.11,779.43,699.67,725.74,693.88,676.51,709.98,689.35,675.88,631.83,717.31,696.32,664.68,723.23,671.65,715.92,693.50,684.55,708.78
23524,50.2048,8.4362,884.16,867.81,851.52,835.28,819.09,802.96,798.20,793.45,788.71,783.98,779.27,699.68,725.58,693.72,676.51,710.06,689.37,675.70,631.61,717.09,696.54,664.36,723.10,671.41,715.83,693.31,684.59,708.56
23525,50.6172,13.1912,989.93,970.74,951.56,932.37,913.20,894.02,890.17,886.33,882.48,878.64,874.80,884.33,895.30,772.80,758.46,857.18,845.40,824.37,839.74,818.91,827.46,761.89,841.17,807.65,823.27,768.05,797.24,879.19
23526,49.6553,8.8870,1216.40,1183.82,1151.27,1118.73,1086.21,1053.71,1047.39,1041.07,1034.75,1028.44,1022.12,937.78,963.49,835.88,919.61,937.04,905.11,879.51,885.41,869.68,906.93,840.58,883.47,870.14,909.59,899.45,862.69,926.14
23527,48.9397,13.4053,876.16,845.84,815.74,785.88,756.23,726.82,720.09,713.40,706.73,700.10,693.49,629.79,608.64,640.10,631.95,629.67,649.94,677.87,620.23,634.03,588.28,594.93,640.54,610.80,582.57,604.75,595.47,709.06
23528,50.4872,12.6412,1150.95,1129.43,1107.89,1086.33,1064.76,1043.17,1041.97,1040.77,1039.57,1038.37,1037.16,991.95,1050.66,863.10,861.15,932.83,913.14,897.38,891.92,896.42,823.04,736.16,825.87,790.49,773.70,774.95,800.42,899.43
23529,50.8350,14.1250,1022.74,995.54,968.35,941.16,913.97,886.78,881.52,876.26,870.99,865.73,860.47,875.43,800.52,701.79,765.17,803.57,797.22,710.05,770.19,798.81,779.40,688.21,758.34,733.31,746.19,740.63,803.44,810.12
23530,49.7187,7.1098,859.08,851.19,843.29,835.38,827.46,819.53,821.42,823.31,825.20,827.09,828.99,760.86,785.88,735.39,752.63,730.96,770.18,751.20,720.97,781.75,741.09,679.85,754.97,711.09,735.26,735.08,702.94,752.02
23531,48.9358,13.4085,876.68,846.39,816.33,786.49,756.88,727.50,720.78,714.09,707.43,700.80,694.20,631.54,610.28,642.41,633.79,631.72,651.28,678.78,622.22,635.69,589.80,596.19,641.35,611.61,584.70,605.81,596.79,710.80
23532,49.7692,12.4213,1120.61,1094.35,1068.01,1041.57,1015.05,988.44,983.40,978.34,973.26,968.16,963.04,908.71,954.68,795.29,814.31,871.69,867.12,865.06,877.44,854.82,857.03,833.70,875.22,863.05,858.55,873.82,886.61,983.33
23533,49.7890,12.4242,1134.45,1108.00,1081.45,1054.80,1028.06,1001.22,996.29,991.35,986.38,981.40,976.39,922.80,976.24,800.63,828.99,883.26,879.00,877.98,892.50,871.05,869.67,846.15,889.02,880.22,876.16,889.01,900.87,1000.68
