station_id,NH4-N_µg/l N,NO3-N_µg/l N,TOC_mg C/l,TOTN_µg/l N,TOTP_µg/l P,TON_µg/l N,TOTN/TOTP,NO3/TOTP,TOC/TON,TOC/TOTP
38109,,20.0,7.15,270.0,,,,,,
38110,,20.0,8.14,280.0,,,,,,
38111,,20.0,16.7,420.0,,,,,,
38112,,20.0,7.915000000000001,240.0,,,,,,
38113,,20.0,14.200000000000001,300.0,,,,,,
38114,,20.0,12.0,305.0,,,,,,
38115,15.320197044335,20.2828353912098,2.1900750111956997,200.99580960910998,5.785840237348861,173.68085855031657,34.690046512977894,3.389132766804908,12.740387297326613,378.5232431857154
38116,7.69,64.9258407273524,6.12229942256232,317.7930085442,8.38395380498568,249.57151659546523,39.810747278911215,8.2598470433952,24.146874144627407,730.2401187995067
38117,8.68920214806291,74.3804181051016,5.18163917657588,324.74615047399897,7.81653720751822,246.38,41.016177600896135,9.515776120602345,20.797676314642587,648.4028753384489
38118,23.5862374934981,25.4926108374384,5.778710644677661,334.16341829085496,8.99759584493467,274.83840222745744,36.8158321514851,3.119249545641764,21.764467210828077,642.2505238364167
38119,5.41044870444491,103.181251316621,4.13996559230391,312.239835685696,5.77678270486623,204.01681223768844,55.39081853854689,20.560191558759996,21.526867541642385,759.6738628653047
38120,12.285714285714299,12.285714285714299,4.025,271.25,5.2285714285714295,240.42857142857196,50.14044943820221,2.4157303370786525,17.11229946524059,780.8988764044935
38121,10.1986812316052,7.513114104595879,2.7816940702588497,193.6,4.43282620179609,180.39802892234508,42.07004862233664,1.7308516851937883,15.768760096728153,627.5215728358049
38122,7.62295973884657,92.8417777475517,3.0363846572361295,263.537863846572,4.5,163.63,61.367475483236866,22.005520943315616,18.07129606438829,670.7841351462442
38123,,20.0,3.6,220.0,,,,,,
38124,,20.0,4.4,210.0,,,,,,
38125,,20.0,6.4,230.0,,,,,,
38126,,20.0,7.1,300.0,,,,,,
38127,,20.0,5.2,220.0,,,,,,
38128,,30.0,23.2,610.0,,,,,,
38129,,20.0,6.1,280.0,,,,,,
38130,,20.0,15.7,470.0,,,,,,
38131,,20.0,3.7,180.0,,,,,,
38132,,20.0,4.2,190.0,,,,,,
38133,,20.0,4.8,210.0,,,,,,
38134,,20.0,14.1,390.0,,,,,,
38135,,20.0,5.74,220.0,,,,,,
38136,,20.0,9.8,290.0,,,,,,
38137,,20.0,9.27,260.0,,,,,,
38138,,20.0,8.0,270.0,,,,,,
38139,,20.0,3.89,200.0,,,,,,
38140,,20.0,15.6,370.0,,,,,,
38141,,20.0,4.3,200.0,,,,,,
38142,,20.0,5.21,170.0,,,,,,
38143,,20.0,5.9,290.0,,,,,,
38144,,20.0,13.5,370.0,,,,,,
38145,,20.0,2.75,150.0,,,,,,
38146,,20.0,21.5,460.0,,,,,,
38147,,20.0,14.6,340.0,,,,,,
38148,,20.0,16.2,410.0,,,,,,
38149,,20.0,5.76,200.0,,,,,,
38150,,20.0,15.4,370.0,,,,,,
38151,,20.0,17.5,410.0,,,,,,
38152,,20.0,7.96,220.0,,,,,,
38153,,20.0,9.4,230.0,,,,,,
38154,,20.0,7.99,370.0,,,,,,
38155,,20.0,8.82,260.0,,,,,,
38156,,20.0,3.22,180.0,,,,,,
38157,,20.0,2.6,160.0,,,,,,
38158,,20.0,5.62,320.0,,,,,,
38159,,20.0,6.96,260.0,,,,,,
38160,,20.0,9.8,340.0,,,,,,
38161,,20.0,2.2,140.0,,,,,,
38162,,20.0,3.02,180.0,,,,,,
38163,,20.0,2.8,150.0,,,,,,
38164,,20.0,8.9,270.0,,,,,,
38165,,20.0,6.31,220.0,,,,,,
38166,,20.0,3.1,150.0,,,,,,
38167,,20.0,16.6,370.0,,,,,,
38168,,20.0,2.82,140.0,,,,,,
38169,,20.0,7.2,330.0,,,,,,
38170,13.0,13.0,6.65,,,,,,,
38171,13.0,5.0,2.08,,,,,,,
38172,13.0,8.0,6.57,,,,,,,
38173,13.0,59.0,4.470000000000001,,,,,,,
38174,13.0,5.0,6.365,,,,,,,
38175,13.0,7.0,5.63,,,,,,,
38176,13.0,16.5,4.82,,,,,,,
38177,17.0,6.0,5.48,,,,,,,
38178,13.0,7.5,5.35,,,,,,,
38179,13.0,13.0,2.64,,,,,,,
38180,13.0,6.0,5.705,,,,,,,
38181,13.0,21.5,4.415,,,,,,,
38182,13.0,7.0,3.645,,,,,,,
38183,13.0,5.0,5.26,,,,,,,
38184,13.0,6.0,5.94,,,,,,,
38185,13.0,17.5,6.395,,,,,,,
38186,13.0,6.0,5.12,,,,,,,
38187,13.0,12.5,3.48,,,,,,,
38188,13.0,15.5,5.265,,,,,,,
38189,13.0,13.0,4.58,,,,,,,
38190,13.0,12.0,5.58,,,,,,,
