station_id,NH4-N_µg/l N,NO3-N_µg/l N,TOC_mg C/l,TOTN_µg/l N,TOTP_µg/l P,TON_µg/l N,TOTN/TOTP,NO3/TOTP,TOC/TON,TOC/TOTP
38226,5.0,7.0,3.2,220.0,6.0,198.0,33.333333333333336,1.2538768276473196,14.87704918032787,500.0
38228,3.0,2.0,12.0,270.0,10.0,254.0,25.806451612903224,0.25,50.3875968992248,1200.0
38229,3.0,4.5,8.5,265.0,6.25,261.5,43.19047619047619,0.6428571428571428,30.70213229638867,1322.857142857143
38230,2.5,20.25,7.05,235.0,6.75,217.0,36.60714285714286,3.447619047619048,32.44592824095044,1211.1904761904761
38232,2.5,1.0,1.9,110.0,3.0,106.5,33.333333333333336,0.6666666666666666,18.96551724137931,610.8490566037735
38233,5.0,5.5,1.65,100.0,1.5,98.0,66.66666666666667,2.6666666666666665,17.281510759771628,1066.6666666666667
38234,5.75,2.0,1.65,100.0,2.25,99.0,55.0,1.0,16.25573394495413,866.6666666666666
38235,38.0,26.0,7.1,340.0,9.0,306.0,39.54545454545455,2.888888888888889,23.588039867109636,877.7777777777778
38236,13.0,37.0,3.8,235.0,3.0,200.0,78.33333333333333,12.333333333333334,20.43010752688172,1366.6666666666667
38237,16.0,55.0,4.7,280.0,2.0,223.0,145.0,26.0,21.076233183856502,2200.0
38238,23.0,51.0,9.4,380.0,4.0,332.0,82.5,10.5,30.42168674698795,2225.0
38239,24.0,55.0,7.0,370.0,6.0,290.0,61.666666666666664,11.333333333333334,24.63768115942029,1133.3333333333333
38240,19.0,59.0,9.8,360.0,5.0,301.0,77.0,12.0,32.704402515723274,2080.0
38241,7.0,14.0,9.2,285.0,5.0,266.0,53.0,2.8,34.962406015037594,1660.0
38242,7.0,9.0,11.2,260.0,5.0,258.0,59.0,1.4642857142857144,43.389830508474574,2300.0
38243,36.0,140.0,3.5,380.0,4.0,230.0,95.0,35.0,16.19047619047619,875.0
38244,2.0,12.0,2.1,98.0,2.0,81.0,49.0,8.5,23.59550561797753,1050.0
38245,9.0,395.0,1.0,515.0,2.0,130.0,257.5,197.5,7.407407407407407,500.0
