station_id,station_code,station_name,latitude,longitude,altitude,continent,country,region,group
38250,Tr18_NO_1740-602,Storgåsvatnet,65.056,13.172,493.0,Europe,Norway,NoNord,Trends
38398,Tr18_SE_69,Svinarydsjön,65.63575568,17.45065728,28.0,Europe,Sweden,NoNord,Trends
38409,Tr18_SE_75,Älgarydssjön,65.6622497,18.55608001,201.0,Europe,Sweden,NoNord,Trends
36464,SE25,Laxtjärnsbäcken,65.786979,19.091654,,Europe,Sweden,NoNord,Core
38394,Tr18_SE_86,Storasjö,65.96081898,16.0678927,253.0,Europe,Sweden,NoNord,Trends+Core
38373,Tr18_SE_1081,Mossjön,66.28473664,23.18813412,278.0,Europe,Sweden,NoNord,Trends
38289,Tr18_NO_1840-601,Kjemåvatnet,66.75098078,15.41023671,626.0,Europe,Norway,NoNord,Trends
36461,SE22,Muddusälven,66.767146,20.128944,,Europe,Sweden,NoNord,Core
38377,Tr18_SE_78,Rammsjön,66.81457422,16.61849502,160.0,Europe,Sweden,NoNord,Trends
38210,Tr18_FI_37562,Suopalampi,67.0655,26.0946,255.0,Europe,Finland,NoNord,Trends+Core
38211,Tr18_FI_37831,Vasikkajärvi,67.117,26.0844,241.0,Europe,Finland,NoNord,Trends+Core
38244,Tr18_NO_1845-601,Tennvatn,67.59379619,15.48788994,339.0,Europe,Norway,NoNord,Trends
38259,Tr18_NO_1859-601,Storvatn,68.054,13.35,25.0,Europe,Norway,NoNord,Trends
38237,Tr18_NO_221-605,Store Lyseren,59.77566137,11.7731881,229.0,Europe,Norway,SoNord,Trends
38240,Tr18_NO_221-607,Holvatn,59.74282989,11.57645744,214.0,Europe,Norway,SoNord,Trends
38236,Tr18_NO_301-605,Langvann,60.10720232,10.75741508,342.0,Europe,Norway,SoNord,Trends
38305,Tr18_NO_402-604,Storbørja,60.09129171,11.92741667,301.0,Europe,Norway,SoNord,Trends
38284,Tr18_NO_418-603,Skurvsjøen,60.56689988,11.65456601,432.0,Europe,Norway,SoNord,Trends
38304,Tr18_NO_423-601,Meitsjøen,60.38672573,11.81050092,358.0,Europe,Norway,SoNord,Trends
38302,Tr18_NO_429-601,Holmsjøen,61.15139884,11.62362593,559.0,Europe,Norway,SoNord,Trends
38278,Tr18_NO_512-601,Svartdalsvatnet,62.27192663,8.84009413,1018.0,Europe,Norway,SoNord,Trends
38235,Tr18_NO_623-603,Breidlivatnet,59.97766875,10.15203664,632.0,Europe,Norway,SoNord,Trends
38311,Tr18_NO_631-607,Skakktjern,59.89165394,9.307344774,547.0,Europe,Norway,SoNord,Trends
38300,Tr18_NO_713-601,Øyvannet (Store),59.63502669,10.10480643,442.0,Europe,Norway,SoNord,Trends
38241,Tr18_NO_819-501,Nedre Furuvatn,59.27288867,8.842092958,605.0,Europe,Norway,SoNord,Trends
38266,Tr18_NO_827-601,Heddersvatnet,59.83261149,8.735980425,1138.0,Europe,Norway,SoNord,Trends
38247,Tr18_NO_831-501,Brårvatn,59.2949206,7.727117568,902.0,Europe,Norway,SoNord,Trends
38263,Tr18_NO_833-603,Skurevatn,59.58859315,7.553098051,1269.0,Europe,Norway,SoNord,Trends
38270,Tr18_NO_834-614,Stavsvatn,59.63187564,8.113747337,1053.0,Europe,Norway,SoNord,Trends
38238,Tr18_NO_914-501,Sandvatn,58.68506741,8.962033086,150.0,Europe,Norway,SoNord,Trends
38303,Tr18_NO_919-606,Hundevatn,58.59264116,8.54065003,286.0,Europe,Norway,SoNord,Trends
38301,Tr18_NO_935-7,Grunnevatn,58.38993819,7.970301523,250.0,Europe,Norway,SoNord,Trends
38293,Tr18_NO_938-66,Grimsdalsvatn,58.74743615,7.971849903,463.0,Europe,Norway,SoNord,Trends
38296,Tr18_NO_940-501,Tjøremovatn/Tjurrmovatn,59.07689882,7.447322068,720.0,Europe,Norway,SoNord,Trends
38281,Tr18_NO_940-502,Myklevatn,59.05667734,7.373266726,785.0,Europe,Norway,SoNord,Trends
38279,Tr18_NO_940-527,Skammevatn,59.21090798,7.242517001,1075.0,Europe,Norway,SoNord,Trends
38260,Tr18_NO_941-24,Bånevatn,59.50484238,7.113197566,1115.0,Europe,Norway,SoNord,Trends
38312,Tr18_NO_BIE01,Birkenes,58.38542613,8.241721137,190.0,Europe,Norway,SoNord,Trends+Core
38287,Tr18_NO_1850-603,Kjerrvatn,68.078,16.034,209.0,Europe,Norway,NoNord,Trends
38315,Tr18_NO_KAE01,Kårvatn feltforskningsstasjon,62.78288336,8.893442731,210.0,Europe,Norway,SoNord,Trends+Core
38242,Tr18_NO_LAE01,"Langtjern, utløp",60.37246,9.72666,516.0,Europe,Norway,SoNord,Trends+Core
38313,Tr18_NO_OVELV 19 23,Øygardsbekken,58.62193342,6.106409331,300.0,Europe,Norway,SoNord,Trends
38314,Tr18_NO_STE01,Storgama v. dam,59.05233316,8.653606351,587.0,Europe,Norway,SoNord,Trends+Core
38246,Tr18_NO_SVART01,Svartetjernet,60.83106238,5.568353828,267.0,Europe,Norway,SoNord,Trends
38335,Tr18_SE_136,Abiskojaure,68.30743963,18.65662239,488.0,Europe,Sweden,NoNord,Trends+Core
23598,SE02,Alsterån Getebro,57.009,16.159,60.0,Europe,Sweden,SoNord,Core
23603,SE09,Fiolen,57.092239,14.532463,226.0,Europe,Sweden,SoNord,Core
38370,Tr18_SE_92,Limmingsjön,68.34963039,18.48825786,236.0,Europe,Sweden,NoNord,Trends
36460,SE21,Pipbäcken Nedre,57.066475,12.792359,,Europe,Sweden,SoNord,Core
38232,Tr18_FI_39478,Sierramjärvi,69.1847,26.8978,254.0,Europe,Finland,NoNord,Trends+Core
36462,SE23,Lommabäcken Nedre,58.700369,14.642744,,Europe,Sweden,SoNord,Core
38283,Tr18_NO_1927-501,Kapervatnet (Lille),69.243607,17.311394,214.0,Europe,Norway,NoNord,Trends
38294,Tr18_NO_2030-619,Fævatnet,69.25399259,28.92773965,177.0,Europe,Norway,NoNord,Trends
38344,Tr18_SE_101,Brännträsket,58.3138079,12.5020235,80.0,Europe,Sweden,SoNord,Trends
38390,Tr18_SE_102,St. Lummersjön,58.76183792,16.23390082,240.0,Europe,Sweden,SoNord,Trends
38411,Tr18_SE_105,Öjsjön,59.1642261,18.02275233,99.0,Europe,Sweden,SoNord,Trends
38338,Tr18_SE_1070,Alstern,59.72441085,12.75795876,160.0,Europe,Sweden,SoNord,Trends
38369,Tr18_SE_1071,Lill-Jangen,59.991358,13.347346,196.0,Europe,Sweden,SoNord,Trends
38395,Tr18_SE_1072,Stor-En,59.81068381,14.62648746,266.0,Europe,Sweden,SoNord,Trends
38339,Tr18_SE_1074,Betarsjön,59.21896206,17.82696563,198.0,Europe,Sweden,SoNord,Trends
38384,Tr18_SE_1075,Skäravattnet,59.77081114,18.31730238,91.0,Europe,Sweden,SoNord,Trends
38233,Tr18_FI_46680,Lampi 222,69.4471,29.1036,222.0,Europe,Finland,NoNord,Trends
38378,Tr18_SE_1085,Rattsjön,60.357805,12.905762,195.0,Europe,Sweden,SoNord,Trends
38401,Tr18_SE_1086,Tvällen,60.022695,12.627785,206.0,Europe,Sweden,SoNord,Trends
38410,Tr18_SE_1087,Ämten,59.948684,12.598349,274.0,Europe,Sweden,SoNord,Trends
38372,Tr18_SE_1088,Mosjön,59.23341352,17.53449363,111.0,Europe,Sweden,SoNord,Trends
38350,Tr18_SE_1089,Farstusjön,59.20902846,18.20533288,134.0,Europe,Sweden,SoNord,Trends
38385,Tr18_SE_109,Skärgölen,61.92567441,14.89384317,72.0,Europe,Sweden,SoNord,Trends
38408,Tr18_SE_1091,Vågsjön,56.35215696,13.70065275,189.0,Europe,Sweden,SoNord,Trends
38340,Tr18_SE_1092,Billingen,59.526479,12.786578,75.0,Europe,Sweden,SoNord,Trends
38342,Tr18_SE_1093,Botungen,59.344243,12.725932,99.0,Europe,Sweden,SoNord,Trends
38382,Tr18_SE_1094,Sandsjön,59.357016,12.8627,86.0,Europe,Sweden,SoNord,Trends
38407,Tr18_SE_1096,Vrången,56.34417197,15.17227337,281.0,Europe,Sweden,SoNord,Trends
38375,Tr18_SE_1097,Mögesjön,59.5803,11.844353,119.0,Europe,Sweden,SoNord,Trends
38386,Tr18_SE_1098,Skårdalsvattnet,59.335294,11.939094,127.0,Europe,Sweden,SoNord,Trends
38341,Tr18_SE_1099,Bodasjön,59.251339,12.213891,112.0,Europe,Sweden,SoNord,Trends
38357,Tr18_SE_110,Grissjön,60.64380681,13.62646591,139.0,Europe,Sweden,SoNord,Trends
38358,Tr18_SE_1102,Gröningen,59.07905669,17.88397571,92.0,Europe,Sweden,SoNord,Trends
38412,Tr18_SE_1103,Ölsjön,59.94742758,12.59835361,173.0,Europe,Sweden,SoNord,Trends
38389,Tr18_SE_1104,St. Gloppsjön,57.42765686,12.26316089,198.0,Europe,Sweden,SoNord,Trends
38396,Tr18_SE_1109,Storsjön,59.08982174,17.40285875,63.0,Europe,Sweden,SoNord,Trends
38337,Tr18_SE_111,Alsjön,59.8637148,18.81220464,113.0,Europe,Sweden,SoNord,Trends
38376,Tr18_SE_1111,Navarn,59.15587035,17.59823738,280.0,Europe,Sweden,SoNord,Trends
38367,Tr18_SE_1113,Liasjön,56.98319011,15.45752092,115.0,Europe,Sweden,SoNord,Trends
38353,Tr18_SE_1115,Fåglasjön,55.5218526,13.31191944,107.0,Europe,Sweden,SoNord,Trends
38381,Tr18_SE_1118,S. Bergsjön,59.63031255,13.03466084,246.0,Europe,Sweden,SoNord,Trends
38356,Tr18_SE_1119,Gransjön,59.8046243,18.30540749,241.0,Europe,Sweden,SoNord,Trends
38361,Tr18_SE_113,Humsjön,56.87678343,14.92857604,130.0,Europe,Sweden,SoNord,Trends
38352,Tr18_SE_118,Fräcksjön,57.94664739,16.09632721,69.0,Europe,Sweden,SoNord,Trends+Core
38403,Tr18_SE_120,Tängersjö,62.24233026,15.67327128,116.0,Europe,Sweden,SoNord,Trends
38351,Tr18_SE_121,Fjärasjö,59.80436639,17.90399753,236.0,Europe,Sweden,SoNord,Trends
38366,Tr18_SE_123,Jutsajaure,60.16089381,15.73345512,421.0,Europe,Sweden,SoNord,Trends
38402,Tr18_SE_126,Tväringen,56.3236984,15.35817087,307.0,Europe,Sweden,SoNord,Trends+Core
38371,Tr18_SE_129,Långsjön,59.10045779,16.80648325,239.0,Europe,Sweden,SoNord,Trends
38359,Tr18_SE_130,Hagasjön,58.22475819,11.77069787,167.0,Europe,Sweden,SoNord,Trends
38234,Tr18_FI_46679,Lampi 3/88,69.4486,29.1382,220.0,Europe,Finland,NoNord,Trends
